HINA 2-DOOR 2-DRAWER SIDEBOARD,179094  |  3560237587059,"€99.23
HT",In arrival,https://images.easyrea.com/images/produits/179094/179094.jpg,"{'Circle of life': 'PERMANENT', 'Color': 'Beige Lin', 'Assortment number': '1', 'Assortment details': 'BOIS BLANCHI + MOTIF EMBOSSE', 'Product dimensions': 'L. 80 x P. 34,5 x H. 85 cm', 'Product Weight': '16.000 Kg', 'Material': 'MDF_E1/PAULOWNIA', 'Packaging': 'HANGTAG LIVRET', 'Implantation': 'AU_SOL', 'Customs code': '9403601000', 'ECO MOB': '1.50 TTC', 'Gencod': '3560237587059'}","{'Plateform': 'Amiens', 'Packing (box/pack/pallet)': '1 / 1 / 4', 'Packing dimensions': '86.00 x 41.00 x 92.00 cm', 'Packing details dimensions': 'L.86.00 x l.41.00 x H.92.00 cm', 'Packing weight': '18.60 kg', 'Volume': '0.3244 m3'}","Description
Collection: Terracotta sunrise","['https://images.easyrea.com/images/produits/179094/179094_0.jpg', 'https://images.easyrea.com/images/produits/179094/179094_1.jpg', 'https://images.easyrea.com/images/produits/179094/179094_2.jpg', 'https://images.easyrea.com/images/produits/179094/179094_3.jpg', 'https://images.easyrea.com/images/produits/179094/179094_4.jpg', 'https://images.easyrea.com/images/produits/179094/179094.jpg']"
HINA 2-DRAWER CONSOLE TABLE,179092  |  3560237587035,"€44.10
HT",In stock,https://images.easyrea.com/images/produits/179092/179092.jpg,"{'Circle of life': 'PERMANENT', 'Color': 'Beige Lin', 'Assortment number': '1', 'Assortment details': 'BOIS BLANCHI + MOTIF EMBOSSE', 'Product dimensions': 'L. 80 x P. 30 x H. 80 cm', 'Packing dimensions': 'H. entre étagères : 50 cm', 'Product Weight': '7.000 Kg', 'Material': 'MDF_E1/PAULOWNIA', 'Assembly': 'A monter soi-même', 'Packaging': 'HANGTAG', 'Implantation': 'AU_SOL', 'Customs code': '9403609000', 'ECO MOB': '0.66 TTC', 'Gencod': '3560237587035'}","{'Plateform': 'Amiens', 'Packing (box/pack/pallet)': '1 / 1 / 18', 'Packing dimensions': '84.50 x 38.00 x 26.30 cm', 'Packing details dimensions': 'L.84.50 x l.38.00 x H.26.30 cm', 'Packing weight': '10.10 kg', 'Volume': '0.0844 m3'}","Description
Collection: Morocco
Nombre de tiroirs : 2 x L. 30 x P. 24 x H. 15cm","['https://images.easyrea.com/images/produits/179092/179092_0.jpg', 'https://images.easyrea.com/images/produits/179092/179092_1.jpg', 'https://images.easyrea.com/images/produits/179092/179092_2.jpg', 'https://images.easyrea.com/images/produits/179092/179092_3.jpg', 'https://images.easyrea.com/images/produits/179092/179092.jpg']"
HINA 3-DRAWER CHEST OF DRAWERS,156959  |  3560239696872,"€55.13
HT",In stock,https://images.easyrea.com/images/produits/156959/156959.jpg,"{'Circle of life': 'PERMANENT', 'Color': 'Blanc', 'Assortment number': '1', 'Assortment details': 'BLANC', 'Product dimensions': 'L. 48 x P. 34 x H. 80 cm', 'Packing dimensions': 'Tiroirs : L. 35,5 x l. 27,5 x H. 20,5 cm', 'Product Weight': '11.200 Kg', 'Material': 'MDF_E1/PAULOWNIA', 'Packaging': 'MASTER BOITE KRAFT/STICKER IMPRIME/ETIQUETTE CODEBARRE', 'Implantation': 'AU_SOL', 'Customs code': '9403609000', 'ECO MOB': '1.50 TTC', 'Gencod': '3560239696872'}","{'Plateform': 'Amiens', 'Packing (box/pack/pallet)': '1 / 1 / 8', 'Packing dimensions': '54.00 x 40.00 x 86.00 cm', 'Packing details dimensions': 'L.54.00 x l.40.00 x H.86.00 cm', 'Packing weight': '12.70 kg', 'Volume': '0.1858 m3'}","Description
Collection: Morocco","['https://images.easyrea.com/images/produits/156959/156959_0.jpg', 'https://images.easyrea.com/images/produits/156959/156959_1.jpg', 'https://images.easyrea.com/images/produits/156959/156959_2.jpg', 'https://images.easyrea.com/images/produits/156959/156959_3.jpg', 'https://images.easyrea.com/images/produits/156959/156959.jpg']"
HINA 6-DRAWER CHEST OF DRAWERS,156960  |  3560239696889,"€82.69
HT",Unavailable at this moment,https://images.easyrea.com/images/produits/156960/156960.jpg,"{'Circle of life': 'PERMANENT', 'Color': 'Blanc', 'Assortment number': '1', 'Assortment details': 'BLANC', 'Product dimensions': 'L. 64 x P. 34 x H. 94 cm', 'Product Weight': '18.000 Kg', 'Material': 'MDF_E1/PAULOWNIA', 'Packaging': 'MASTER BOITE KRAFT/STICKER IMPRIME/ETIQUETTE CODEBARRE', 'Implantation': 'AU_SOL', 'Customs code': '9403609000', 'ECO MOB': '1.50 TTC', 'Gencod': '3560239696889'}","{'Plateform': 'Amiens', 'Packing (box/pack/pallet)': '1 / 1 / 5', 'Packing dimensions': '70.00 x 40.00 x 100.00 cm', 'Packing details dimensions': 'L.70.00 x l.40.00 x H.100.00 cm', 'Packing weight': '20.00 kg', 'Volume': '0.2800 m3'}","Description
Collection: Morocco
Nombre de tiroirs : 6 x  L. 23 x l. 24 x H. 22 cm","['https://images.easyrea.com/images/produits/156960/156960_0.jpg', 'https://images.easyrea.com/images/produits/156960/156960_1.jpg', 'https://images.easyrea.com/images/produits/156960/156960_2.jpg', 'https://images.easyrea.com/images/produits/156960/156960_3.jpg', 'https://images.easyrea.com/images/produits/156960/156960.jpg']"
HINA 1-DRAWER BEDSIDE TABLE,157202  |  3560238652343,"€30.32
HT",In stock,https://images.easyrea.com/images/produits/157202/157202.jpg,"{'Circle of life': 'PERMANENT', 'Color': 'Blanc', 'Assortment number': '1', 'Assortment details': 'BOIS BLANCHI', 'Product dimensions': 'L. 45 x P. 30 x H. 67,5 cm', 'Product Weight': '5.000 Kg', 'Material': 'MDF_E1/PAULOWNIA', 'Assembly': 'A monter soi-même', 'Packaging': 'HANGTAG', 'Implantation': 'AU_SOL', 'Customs code': '9403500000', 'ECO MOB': '0.26 TTC', 'Gencod': '3560238652343'}","{'Plateform': 'Amiens', 'Packing (box/pack/pallet)': '1 / 1 / 25', 'Packing dimensions': '66.50 x 34.00 x 25.00 cm', 'Packing details dimensions': 'L.66.50 x l.34.00 x H.25.00 cm', 'Packing weight': '6.00 kg', 'Volume': '0.0565 m3'}","Description
Collection: Morocco
Nombre de tiroirs : 1 x L. 30 x P. 24 x H. 15cm","['https://images.easyrea.com/images/produits/157202/157202_0.jpg', 'https://images.easyrea.com/images/produits/157202/157202_1.jpg', 'https://images.easyrea.com/images/produits/157202/157202.jpg']"
SHIREL 2-DOOR SIDEBOARD,157000  |  3560239697237,"€248.07
HT",In stock,https://images.easyrea.com/images/produits/157000/157000.jpg,"{'Circle of life': 'PERMANENT', 'Color': 'Beige', 'Assortment number': '0', 'Assortment details': 'Couleur naturelle bois blanchi', 'Product dimensions': 'L. 90 x P. 40 x H. 90 cm', 'Packing dimensions': 'Hauteur en chaque étagère : 33 cm', 'Product Weight': '26.700 Kg', 'Material': 'MANGO', 'Packaging': 'HANGTAG LIVRET', 'Implantation': 'SUR_ETAGERE', 'Customs code': '9403601000', 'ECO MOB': '2.20 TTC', 'Gencod': '3560239697237'}","{'Plateform': 'Amiens', 'Packing (box/pack/pallet)': '1 / 1 / 4', 'Packing dimensions': '96.50 x 47.50 x 98.00 cm', 'Packing details dimensions': 'L.96.50 x l.47.50 x H.98.00 cm', 'Packing weight': '34.00 kg', 'Volume': '0.4492 m3'}","Description
Nombre de tiroirs :
Pliable :
Empilable :
Nombre d'étagères :
Nombre niches / cases :","['https://images.easyrea.com/images/produits/157000/157000_0.jpg', 'https://images.easyrea.com/images/produits/157000/157000_1.jpg', 'https://images.easyrea.com/images/produits/157000/157000_2.jpg', 'https://images.easyrea.com/images/produits/157000/157000_3.jpg', 'https://images.easyrea.com/images/produits/157000/157000_4.jpg', 'https://images.easyrea.com/images/produits/157000/157000.jpg']"
SHIREL 4-DRAWER CHEST OF DRAWERS,166726  |  3560233812216,"€137.82
HT",In stock,https://images.easyrea.com/images/produits/166726/166726.jpg,"{'Circle of life': 'PERMANENT', 'Color': 'Marron', 'Assortment number': '1', 'Assortment details': 'BOIS MANGUIER', 'Product dimensions': 'L. 50 x P. 40 x H. 80,5 cm', 'Product Weight': '24.300 Kg', 'Material': 'MANGUIER/MDF_E0', 'Packaging': 'HANGTAG LIVRET', 'Implantation': 'AU_SOL', 'Customs code': '9403609000', 'ECO MOB': '2.20 TTC', 'Gencod': '3560233812216'}","{'Plateform': 'Amiens', 'Packing (box/pack/pallet)': '1 / 1 / 8', 'Packing dimensions': '58.00 x 49.00 x 88.50 cm', 'Packing details dimensions': 'L.58.00 x l.49.00 x H.88.50 cm', 'Packing weight': '23.80 kg', 'Volume': '0.2515 m3'}","Description
Empilable : N/A
Nombre d'étagères : 0
Nombre de tiroirs : 4
Nombre niches / cases : 0
Pliable : N/A","['https://images.easyrea.com/images/produits/166726/166726_0.jpg', 'https://images.easyrea.com/images/produits/166726/166726_1.jpg', 'https://images.easyrea.com/images/produits/166726/166726_2.jpg', 'https://images.easyrea.com/images/produits/166726/166726.jpg']"
SHIREL 3-DRAWER CHEST OF DRAWERS,166727  |  3560233812339,"€275.63
HT",In stock,https://images.easyrea.com/images/produits/166727/166727.jpg,"{'Circle of life': 'PERMANENT', 'Color': 'Marron', 'Assortment number': '1', 'Assortment details': 'BOIS MANGUIER', 'Product dimensions': 'L. 79,5 x P. 40 x H. 80,5 cm', 'Product Weight': '33.150 Kg', 'Material': 'MANGUIER/MDF_E0', 'Packaging': 'HANGTAG LIVRET', 'Implantation': 'AU_SOL', 'Customs code': '9403609000', 'ECO MOB': '3.14 TTC', 'Gencod': '3560233812339'}","{'Plateform': 'Amiens', 'Packing (box/pack/pallet)': '1 / 1 / 4', 'Packing dimensions': '86.00 x 46.00 x 86.50 cm', 'Packing details dimensions': 'L.86.00 x l.46.00 x H.86.50 cm', 'Packing weight': '37.00 kg', 'Volume': '0.3422 m3'}","Description
Empilable : N/A
Nombre d'étagères : N/A
Nombre de tiroirs : 3
Nombre niches / cases : N/A
Pliable : N/A","['https://images.easyrea.com/images/produits/166727/166727_0.jpg', 'https://images.easyrea.com/images/produits/166727/166727_1.jpg', 'https://images.easyrea.com/images/produits/166727/166727_2.jpg', 'https://images.easyrea.com/images/produits/166727/166727_3.jpg', 'https://images.easyrea.com/images/produits/166727/166727_4.jpg', 'https://images.easyrea.com/images/produits/166727/166727.jpg']"
SHIREL 1-DOOR BEDSIDE TABLE,157001  |  3560239697244,"€49.62
HT",In arrival,https://images.easyrea.com/images/produits/157001/157001.jpg,"{'Circle of life': 'PERMANENT', 'Color': 'Marron', 'Assortment number': '1', 'Assortment details': 'Couleur naturelle bois blanchi', 'Product dimensions': 'L. 40 x P. 35 x H. 44,5 cm', 'Product Weight': '7.100 Kg', 'Material': 'MANGUIER', 'Packaging': 'HANGTAG LIVRET', 'Implantation': 'AU_SOL', 'Customs code': '9403500000', 'ECO MOB': '0.66 TTC', 'Gencod': '3560239697244'}","{'Plateform': 'Amiens', 'Packing (box/pack/pallet)': '1 / 1 / 8', 'Packing dimensions': '47.50 x 44.00 x 52.00 cm', 'Packing details dimensions': 'L.47.50 x l.44.00 x H.52.00 cm', 'Packing weight': '10.00 kg', 'Volume': '0.1087 m3'}",,"['https://images.easyrea.com/images/produits/157001/157001_0.jpg', 'https://images.easyrea.com/images/produits/157001/157001_1.jpg', 'https://images.easyrea.com/images/produits/157001/157001_2.jpg', 'https://images.easyrea.com/images/produits/157001/157001.jpg']"
KOVAL 3-DOOR 4-DRAWER SIDEBOARD WHITE,166506B  |  3560238653807,"€275.63
HT",In arrival,https://images.easyrea.com/images/produits/166506B/166506B.jpg,"{'Circle of life': 'PERMANENT', 'Color': 'Gris', 'Assortment number': '0', 'Assortment details': 'BOIS', 'Product dimensions': 'L. 115 x P. 40 x H. 81,5 cm', 'Product Weight': '50.000 Kg', 'Material': 'MANGO', 'Assembly': 'A monter soi-même', 'Packaging': 'HANGTAG LIVRET', 'Implantation': 'AU_SOL', 'Customs code': '9403601000', 'ECO MOB': '4.20 TTC', 'Gencod': '3560238653807'}","{'Plateform': 'Amiens', 'Packing (box/pack/pallet)': '1 / 1 / 2', 'Packing dimensions': '122.00 x 47.00 x 73.00 cm', 'Packing details dimensions': 'L.122.00 x l.47.00 x H.73.00 cm', 'Packing weight': '58.70 kg', 'Volume': '0.4186 m3'}","Description
Nombre de tiroirs : Tiroir bas  : L. 53 x l. 40 x H. 14 cm / Tiroir haut : L. 77 x l. 40 x H. 14 cm
Pliable : /
Empilable : /
Nombre d'étagères : 1
Nombre niches / cases : Placard bas : L. 52 x l. 40 x H. 30 cm / Placard haut :  L.30 x l. 40 x H. 30 cm","['https://images.easyrea.com/images/produits/166506B/166506B_0.jpg', 'https://images.easyrea.com/images/produits/166506B/166506B_1.jpg', 'https://images.easyrea.com/images/produits/166506B/166506B_2.jpg', 'https://images.easyrea.com/images/produits/166506B/166506B_3.jpg', 'https://images.easyrea.com/images/produits/166506B/166506B_4.jpg', 'https://images.easyrea.com/images/produits/166506B/166506B.jpg']"
